name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
RED'S - TOUCH IT UP,Product Design,Design,2017/07/27,2017-08-26,canceled,2,USA,40,20000
Violins For Eugene,Classical Music,Music,2017/07/27,2017-08-26,failed,7,USA,590,7000
Evil Grows in the Dark / Sousaphone,Shorts,Film & Video,2017/07/27,2017-08-26,successful,49,USA,23310,22000
Crafting Colorful Circuit Board Jewelry,Product Design,Design,2017/07/27,2017-08-26,successful,31,USA,1942,1100
"DIY Win, simple videos, learning, and conquering projects.",Product Design,Design,2017/07/27,2017-08-26,failed,7,USA,238,40000
Tell Me How To Quit My Job & I'll Film It,Comedy,Film & Video,2017/07/27,2017-08-26,successful,11,USA,1109,1000
ESPY APPAREL | Modern Basics for the Female Traveler,Apparel,Fashion,2017/07/27,2017-08-26,failed,93,USA,9720,26000
Ghana Missions - Global Diaspora Connection,Video,Journalism,2017/07/27,2017-08-26,failed,0,USA,0,5000
Bigfoot Research Zine,Zines,Publishing,2017/07/27,2017-08-26,successful,28,USA,650,400
QLYX - the ultimate smart mount that tunes your life.,Gadgets,Technology,2017/07/27,2017-08-26,successful,2892,USA,124979,40000
Dry Start™ - Dry Your Wetsuit While Driving Home,Design,Design,2017/07/27,2017-08-26,canceled,17,USA,1690,22000
Breakfast Spaceship Enamel Pin Collection,Accessories,Fashion,2017/07/27,2017-08-26,successful,14,USA,420,420
"Polymule - a Handcart for Adventure, Work, and Survival.",Design,Design,2017/07/27,2017-08-26,failed,61,USA,24477,250000
Drum Doctors Limited Edition Art T-Shirts,Apparel,Fashion,2017/07/27,2017-08-26,failed,6,USA,175,9000
PCPanel - The best way to control your computer's audio,Hardware,Technology,2017/07/27,2017-08-26,successful,258,USA,17798,5000
SlighToPhilly Documentary,Documentary,Film & Video,2017/07/27,2017-08-26,failed,3,USA,150,10000
"""Lil Elephant"" - sticker and print",Art,Art,2017/07/27,2017-08-26,successful,16,USA,155,100
God's Underwater World: Why We Feel Closer to God Underwater,Film & Video,Film & Video,2017/07/27,2017-08-26,successful,37,USA,7306,3170
Earth Angels,Children's Books,Publishing,2017/07/27,2017-08-26,failed,8,USA,240,3000
UNBOY: An Arcade Battle Comic,Comics,Comics,2017/07/27,2017-08-26,successful,77,USA,13284,13150
Ruins Of Humanity,Tabletop Games,Games,2017/07/27,2017-08-26,failed,10,USA,441,1000
CoolBro Drinkslide - some say its fridge porn. #getcoolbro,Gadgets,Technology,2017/07/27,2017-08-26,failed,168,USA,4901,10000
Wild Yogawear - Yoga Pants That Save Giraffes And Elephants,Apparel,Fashion,2017/07/27,2017-08-26,successful,23,USA,1695,1500
Only Good News,Nonfiction,Publishing,2017/07/27,2017-08-21,successful,53,USA,3740,2500
Minor Rampage,Mobile Games,Games,2017/07/27,2017-08-21,successful,36,USA,2040,2000
GoBout: The World's Best Portable Multi-Dispenser,Product Design,Design,2017/07/27,2017-08-21,successful,1163,USA,77664,30000
Feudum: The Queen's Army,Tabletop Games,Games,2017/07/27,2017-08-21,successful,1543,USA,64769,15000
Pirates Lagoon,Tabletop Games,Games,2017/07/27,2017-08-19,failed,10,USA,470,3000
2320: A Modern Day Tom & Huck Adventure,Documentary,Film & Video,2017/07/27,2017-08-18,successful,126,USA,10100.87,10000
"Puppets and Prostitutes, Late Nite Theater Adventure",Experimental,Theater,2017/07/27,2017-08-17,successful,27,USA,3205,3200
The Exiled: Siege (Tactics expansion and core box),Tabletop Games,Games,2017/07/27,2017-08-16,successful,421,USA,17072,8200
Fungeon Keeper,Video Games,Games,2017/07/27,2017-08-16,failed,2,USA,10,3000
"SvpremeRetinas : Work With, Never For",Apparel,Fashion,2017/07/27,2017-08-16,failed,15,USA,560,1000
seat.AI : Customized cushion just for you,Hardware,Technology,2017/07/27,2017-08-16,successful,69,USA,48950,10000
Promoting New Nonfiction Book: Autofocus Off,Nonfiction,Publishing,2017/07/27,2017-08-11,failed,10,USA,830,2500
A Second Chance in Life By: Michele Brown,Fiction,Publishing,2017/07/27,2017-08-10,failed,4,USA,35,1250
"""STAND UP"" A DOCUMENTARY ABOUT BULLYING POST-PRODUCTION",Documentary,Film & Video,2017/07/27,2017-08-09,failed,0,USA,0,5000
Legado - Legacy,Documentary,Film & Video,2017/07/27,2017-08-09,failed,8,USA,180,3510
DREAM,Festivals,Film & Video,2017/07/27,2017-08-06,successful,12,USA,800,650
Entrepreneur opportunity,Performance Art,Art,2017/07/27,2017-08-02,failed,0,USA,0,900
Dice Base™: FLUME FUSION,Tabletop Games,Games,2017/07/27,2017-08-01,successful,415,USA,14334,500
Cry Help,Nonfiction,Publishing,2017/07/26,2017-09-24,failed,1,USA,1,475
USB Rechargeable Globe Light with Magnetic Mount,Product Design,Design,2017/07/26,2017-09-24,suspended,21,USA,928,12000
Hoppzie,Live Games,Games,2017/07/26,2017-09-24,failed,2,USA,2,10000
Flirting with the wrong man,Fiction,Publishing,2017/07/26,2017-09-24,failed,10,USA,1103,25000
"Mexxenger - high tech, modular messenger bag",Product Design,Design,2017/07/26,2017-09-24,successful,469,USA,99004,30000
PriusDominatus phase II,Painting,Art,2017/07/26,2017-09-24,failed,1,USA,1,325
"""project cheereo"" (studio time, cd duplication, music vids)",R&B,Music,2017/07/26,2017-09-24,canceled,0,USA,0,6000
memobottle H2.0,Product Design,Design,2017/07/26,2017-09-24,successful,2421,USA,137238,30000
Artletica Yoga Mats – Authentically Beautiful,Product Design,Design,2017/07/26,2017-09-15,successful,187,USA,27364,10000
Uno Bolt: Worlds First E-Unicycle with Gyro Force Technology,Product Design,Design,2017/07/26,2017-09-09,suspended,68,USA,60909,20000
Hoping to help out in the community through food.,Restaurants,Food,2017/07/26,2017-09-09,failed,0,USA,0,15000
SlideDrive,Apps,Technology,2017/07/26,2017-09-09,successful,94,USA,8270,7500
LORE : VR RPG : Pilot giant robots & ride airships in VR!,Video Games,Games,2017/07/26,2017-09-09,failed,19,USA,747,58000
DOCTOR WHO: THE MENACE OF FOONF,Science Fiction,Film & Video,2017/07/26,2017-09-09,successful,14,USA,796,700
The Light Fleet Dice Case,Tabletop Games,Games,2017/07/26,2017-09-06,canceled,58,USA,3006,25000
SERPENT Series: Smallest And Safest Electric Skateboards,Product Design,Design,2017/07/26,2017-09-04,canceled,52,USA,14402,30000
Princess Prophy - A Tooth Fairy Pal Plush,Crafts,Crafts,2017/07/26,2017-09-04,successful,132,USA,7979,7000
The Art of Taijiquan - An Examination of Five Family Styles,Nonfiction,Publishing,2017/07/26,2017-09-01,canceled,1,USA,10,1700
Fist & Fire Poems to inspire action and ignite passion,Publishing,Publishing,2017/07/26,2017-09-01,successful,163,USA,8189,6000
Rise of the Exiled,Tabletop Games,Games,2017/07/26,2017-09-01,canceled,184,USA,6672,16000
LumNkey | Worlds First Bluetooth LED Smart Key,Gadgets,Technology,2017/07/26,2017-09-01,successful,358,USA,10567,10000
Double-Sided PLUSH Terrain Mats by Cigar Box Battle Mats,Tabletop Games,Games,2017/07/26,2017-09-01,successful,391,USA,71293,1500
Help me go to tattoo school!,Art,Art,2017/07/26,2017-08-30,failed,15,USA,1006,11500
Delta Prime: fidget spinner / bottle opener,Design,Design,2017/07/26,2017-08-30,successful,79,USA,5881,2500
VICIA Energy Bar,Vegan,Food,2017/07/26,2017-08-30,successful,122,USA,20000.4,20000
"4eSync - Saving our planet, one plate at a time",Food,Food,2017/07/26,2017-08-30,successful,60,USA,8231,8000
Devin's Spiked Root Beer,Drinks,Food,2017/07/26,2017-08-30,failed,15,USA,1925,15000
The Order of the Shining Light,Fiction,Publishing,2017/07/26,2017-08-29,canceled,9,USA,143,5000
Tour de Lovecraft: The Destinations - Cthulhu Mythos Places,Literary Journals,Publishing,2017/07/26,2017-08-29,successful,1013,USA,40115,5000
The Hammock Hitch Stand,Product Design,Design,2017/07/26,2017-08-28,canceled,12,USA,2370,25000
Stat Trackers: A GM accessory for 5E Dungeons and Dragons,Tabletop Games,Games,2017/07/26,2017-08-28,successful,813,USA,47926,10000
Very Engaging - A Playful & Romantic Conversation Guidebook,Publishing,Publishing,2017/07/26,2017-08-28,successful,356,USA,25550,25000
Stonehaven Adventurers 2017,Tabletop Games,Games,2017/07/26,2017-08-26,successful,420,USA,28895,3000
"Heartsong Yoga Studio, A Faith Based Practice",Spaces,Dance,2017/07/26,2017-08-26,successful,59,USA,5030,5000
Fidgitband,Gadgets,Technology,2017/07/26,2017-08-25,failed,2,USA,2,50000
BAD KHARMA,Film & Video,Film & Video,2017/07/26,2017-08-25,canceled,0,USA,0,6000
Eastside God,Film & Video,Film & Video,2017/07/26,2017-08-25,failed,0,USA,0,1000
"Once a Dream, Now a Reality",Children's Books,Publishing,2017/07/26,2017-08-25,failed,0,USA,0,6000
The Landfiles,Radio & Podcasts,Publishing,2017/07/26,2017-08-25,failed,1,USA,25,3000
IR Bracelet -- Insect Repelling Bracelet,Product Design,Design,2017/07/26,2017-08-25,failed,23,USA,1388,9200
Intergalac-treats: Galaxy-themed Enamel Pins and Accessories,Art,Art,2017/07/26,2017-08-25,successful,262,USA,10230,800
Merchandising & Ceramic Sculpture for Designer Con 2017,Ceramics,Art,2017/07/26,2017-08-25,failed,23,USA,1590,5500
The Working Class Leather Belt / A Belt To Last A Lifetme,Accessories,Fashion,2017/07/26,2017-08-25,failed,28,USA,1784,2500
Macbeth: A Contemporary Dance Performance,Performances,Dance,2017/07/26,2017-08-25,successful,12,USA,1330,1000
Microbrewery/restaurant,Drinks,Food,2017/07/26,2017-08-25,failed,0,USA,0,25000
BIRCH SPRIG: A Camper Built by YOU,Product Design,Design,2017/07/26,2017-08-25,successful,40,USA,22102,10000
Help Us Make A Sugar Creek EP!!!,Music,Music,2017/07/26,2017-08-25,failed,2,USA,301,1500
EMERGENCY VOICE APP,Young Adult,Publishing,2017/07/26,2017-08-25,failed,0,USA,0,26400
Inverted Eights,Tabletop Games,Games,2017/07/26,2017-08-25,failed,24,USA,501,9900
Let's Be Be(er) Friends @ CBB,Drinks,Food,2017/07/26,2017-08-25,failed,2,USA,35,5000
Personalized Embroidered Gym Bags,Accessories,Fashion,2017/07/26,2017-08-25,failed,0,USA,0,20000
"Die Unterwelt, The Recording Project",Musical,Theater,2017/07/26,2017-08-25,failed,16,USA,776,2000
Pirate Pete's Voyage Children's Book,Children's Books,Publishing,2017/07/26,2017-08-25,canceled,1,USA,18,15000
Project A Studios,Mobile Games,Games,2017/07/26,2017-08-25,failed,0,USA,0,1000
Rush Ambition,Painting,Art,2017/07/26,2017-08-25,failed,2,USA,115,40000
Spellbound Kingdoms: Arcana,Tabletop Games,Games,2017/07/26,2017-08-25,successful,217,USA,7822,3000
"KIK-BOX, The MVPs Of Shoe Storage!",Product Design,Design,2017/07/26,2017-08-25,failed,2,USA,318,6500
Releasable Marine Anchor,Product Design,Design,2017/07/26,2017-08-25,canceled,0,USA,0,5000
Kickstarter Gold: Passport cover_Spectacle case_Wallet mini,Product Design,Design,2017/07/26,2017-08-25,successful,7,USA,414,300
Double Hinge For Refrigerators,Product Design,Design,2017/07/26,2017-08-25,failed,1,USA,70,20000
TUG - the electric ballwinder,Crafts,Crafts,2017/07/26,2017-08-25,successful,55,USA,22412,15000
Revolution (www.revolutionsworld.com),Web,Technology,2017/07/26,2017-08-25,failed,0,USA,0,5000
Ko Gaine,Comic Books,Comics,2017/07/26,2017-08-25,successful,88,USA,4253,4000
Ultralight Adventure Pack,Product Design,Design,2017/07/26,2017-08-25,failed,5,USA,308,25000
The Smartcoat with My Core Control Technology Inside,Wearables,Technology,2017/07/26,2017-08-25,successful,49,USA,27175,25000
Moby Dick,Musical,Theater,2017/07/26,2017-08-25,failed,0,USA,0,7750
Half Brothers Brewing Company,Drinks,Food,2017/07/26,2017-08-25,successful,149,USA,25460.75,20000
Kaksori!,Documentary,Film & Video,2017/07/26,2017-08-25,successful,160,USA,15088,15000
d'Jinn: a modern task lamp,Product Design,Design,2017/07/26,2017-08-25,successful,48,USA,29799,17500
Reverie: A Heroes Tale,Video Games,Games,2017/07/26,2017-08-25,successful,257,USA,2693,300
"Music Video for ""Streetlights""",Electronic Music,Music,2017/07/26,2017-08-25,failed,0,USA,0,2500
Future Cruise New Video Game App,Mobile Games,Games,2017/07/26,2017-08-25,failed,4,USA,96,1500
Rick And Morty Ball Fondlers,Accessories,Fashion,2017/07/26,2017-08-25,successful,28,USA,1071,950
Friends in Dark Places: A Mare Internum pin set,Accessories,Fashion,2017/07/26,2017-08-25,successful,206,USA,8550,500
Epic Misadventures of Deathbag 2,Comic Books,Comics,2017/07/26,2017-08-25,successful,26,USA,600,600
Nakawak - A GameBoy Style Metroidvania for PC!,Video Games,Games,2017/07/26,2017-08-25,successful,77,USA,1548,250
Hummingbird Chalk Co.,Crafts,Crafts,2017/07/26,2017-08-25,failed,0,USA,0,500
LINE Art Online Storefront,Digital Art,Art,2017/07/26,2017-08-25,successful,15,USA,699,600
Smudge's Last Stand,Comic Books,Comics,2017/07/26,2017-08-25,failed,9,USA,256,1000
My Life Style T-Shirts and Apparel,Apparel,Fashion,2017/07/26,2017-08-25,failed,0,USA,0,1500
A website that will connect families for generations.,Web,Technology,2017/07/26,2017-08-25,failed,1,USA,5,6800
Custom Pearl & Gemstone Jewelry,Jewelry,Fashion,2017/07/26,2017-08-25,failed,3,USA,75,1000
Lighthouse Lane-Feature Film,Drama,Film & Video,2017/07/26,2017-08-25,failed,0,USA,0,500
Aerial Photography Wall-Arts,Photography,Photography,2017/07/26,2017-08-25,failed,1,USA,620,3000
VES2URE Urbane Apparel,Fashion,Fashion,2017/07/26,2017-08-25,failed,0,USA,0,1500
Affordable Farm 2 Table Meal Prep Delivered to your Door!,Farms,Food,2017/07/26,2017-08-23,failed,6,USA,236,4000
Blackened Keep Bust Set,Art,Art,2017/07/26,2017-08-20,failed,15,USA,563,3000
Antinous Film,Drama,Film & Video,2017/07/26,2017-08-20,failed,3,USA,174,100000
"Symbolicons Pro: Your friendly, versatile, go-to icon set.",Software,Technology,2017/07/26,2017-08-18,successful,709,USA,70751,12000
The Well Worship Debut Album FUNdraiser,Faith,Music,2017/07/26,2017-08-17,successful,15,USA,807,500
Water: An Atlas,Publishing,Publishing,2017/07/26,2017-08-17,successful,335,USA,27598,25000
3D Printer for Van Zandt County Library (Eagle Project),3D Printing,Technology,2017/07/26,2017-08-17,successful,24,USA,1422,1200
Beastly Beats - DJ Animal Enamel Pins,Accessories,Fashion,2017/07/26,2017-08-16,successful,174,USA,5944,1500
"A quest to perform Indian dance, in India!",Performances,Dance,2017/07/26,2017-08-16,successful,25,USA,2650,2650
Josh Misener - NEW Album Project,Pop,Music,2017/07/26,2017-08-15,successful,66,USA,7001,7000
Solar Eclipse Photographs,Nature,Photography,2017/07/26,2017-08-15,failed,0,USA,0,2000
Help us make SKYE PETERSON'S first album!,Music,Music,2017/07/26,2017-08-14,successful,291,USA,5695,4000
The Hive: coworking with onsite childcare,Makerspaces,Technology,2017/07/26,2017-08-12,failed,134,USA,6902.77,24000
Four Color Comics Book History Trading Cards #4,Comic Books,Comics,2017/07/26,2017-08-09,successful,41,USA,1404,1250
Nashville Kiwanis Flugtag,Live Games,Games,2017/07/26,2017-08-01,failed,6,USA,175,800
Return of Darkness,Art,Art,2017/07/25,2017-09-23,failed,0,USA,0,40000
Let Go Premiere,Webseries,Film & Video,2017/07/25,2017-09-23,canceled,9,USA,464,7000
Swinger Golf Putter,Product Design,Design,2017/07/25,2017-09-23,failed,1,USA,150,100000
BRID - The Revolution of Air Purifying,Hardware,Technology,2017/07/25,2017-09-23,successful,930,USA,446241,90000
Handmade mini hawk cutter. Camp tanto,Art,Art,2017/07/25,2017-09-23,failed,4,USA,246,22000
Nappa's Kustom Kydex,DIY,Crafts,2017/07/25,2017-09-23,failed,0,USA,0,1000
El ROBLE: Artisan Community- Jobs & homes for the homeless,Art,Art,2017/07/25,2017-09-23,canceled,0,USA,0,100000
Swear To Bob's (Kabobs Food Truck),Food Trucks,Food,2017/07/25,2017-09-23,failed,0,USA,0,30000
Penn State Museum,Design,Design,2017/07/25,2017-09-23,successful,10,USA,300,300
Designing for Print Book: Education for Graphic Designers,Graphic Design,Design,2017/07/25,2017-09-23,successful,517,USA,48281.01,35000
"Advanced Water Activated LED,Home Use and Evacuation Bulb.",Technology,Technology,2017/07/25,2017-09-23,failed,1,USA,500,192000
"Ending climate change, one vegan at a time",Vegan,Food,2017/07/25,2017-09-23,failed,3,USA,16,500000
Sheree Cosmetics,Fashion,Fashion,2017/07/25,2017-09-23,failed,2,USA,26,5000
"Good & Stuck, film: untangling purse strings & heart strings",Drama,Film & Video,2017/07/25,2017-09-22,failed,3,USA,46,49000
The Weekly Geekly Con Tour!,Audio,Journalism,2017/07/25,2017-09-21,canceled,2,USA,127,5000
Algobrix | The Ultimate Coding Learning Game,Robots,Technology,2017/07/25,2017-09-21,successful,3696,USA,1153514.23,50000
Santa Squad,Children's Books,Publishing,2017/07/25,2017-09-10,failed,2,USA,40,35000
World's Best Portable Blender,Product Design,Design,2017/07/25,2017-09-09,successful,79,USA,15410,15000
"Casey Wickstrom's New Album: ""Bleed Out""!!",Music,Music,2017/07/25,2017-09-08,successful,125,USA,8042.49,8000
Numeracy Legends:The Board Game for Elementary Math Learning,Tabletop Games,Games,2017/07/25,2017-09-08,successful,257,USA,24486,20000
Crush Hour,Fiction,Publishing,2017/07/25,2017-09-08,failed,0,USA,0,12000
Kodiak Leather - Classic Weekender Duffel,Accessories,Fashion,2017/07/25,2017-09-08,successful,839,USA,252311,5000
Nitro Fan,Technology,Technology,2017/07/25,2017-09-08,canceled,13,USA,676,45000
dapper bunny: enamel pins,Illustration,Art,2017/07/25,2017-09-08,failed,6,USA,66,180
"OmniComics Presents, ""THE TREASURY""",Anthologies,Comics,2017/07/25,2017-09-08,canceled,1,USA,5,20000
"Salty Turtle Beer Company - Surf City, North Carolina",Small Batch,Food,2017/07/25,2017-09-08,successful,245,USA,14803,10000
Sunshine City BBQ,Food Trucks,Food,2017/07/25,2017-09-08,failed,2,USA,60,20000
Thrusterz Compression Socks,Design,Design,2017/07/25,2017-09-06,successful,177,USA,8764.2,5000
High-Tech Heels & Flats that Feel Like Sneakers Inside,Product Design,Design,2017/07/25,2017-09-03,successful,6989,USA,1845714,50000
STOPPING DOMINOES - A NOVEL,Fiction,Publishing,2017/07/25,2017-09-03,failed,0,USA,0,8000
"Metro6, a beautifully made film. Rolling to a stop near you.",Animation,Film & Video,2017/07/25,2017-09-02,failed,146,USA,47706,60000
WOODGRAIN WATCHES,Product Design,Design,2017/07/25,2017-09-01,successful,444,USA,81921.88,12000
Pet Paddle,Product Design,Design,2017/07/25,2017-09-01,failed,49,USA,874,26000
Swidget™ Outlet: The Smart Home Device for All Platforms,Hardware,Technology,2017/07/25,2017-09-01,successful,1244,USA,105886,40000
Home,Farms,Food,2017/07/25,2017-09-01,failed,0,USA,0,75000
SPIDER-MAN: FOUNDATION Fan Film,Action,Film & Video,2017/07/25,2017-08-31,successful,13,USA,1025,1000
Boardwalk Delights- Sweet Treats and Good Eats,Food Trucks,Food,2017/07/25,2017-08-29,failed,1,USA,1,50000
Multi-purpose LED Safety Lights for Running & Cycling,Wearables,Technology,2017/07/25,2017-08-28,failed,10,USA,332,10000
This Book is too Small!,Children's Books,Publishing,2017/07/25,2017-08-28,successful,127,USA,11173,4500
Heavy Breathing Audio: A Mobile Music Recording Endeavor,Music,Music,2017/07/25,2017-08-27,failed,2,USA,291,4700
VizMo - The World's Best Bicycle Taillight,Hardware,Technology,2017/07/25,2017-08-27,canceled,6,USA,337,20000
Ninjitsu! - the Ninja card game for all ages,Tabletop Games,Games,2017/07/25,2017-08-26,successful,3696,USA,122396,3000
Cauldron: Bubble and Boil Board Game,Tabletop Games,Games,2017/07/25,2017-08-26,successful,282,USA,16084,14700
T-BACK SUPPORT Place on any chair for extreme comfort,Product Design,Design,2017/07/25,2017-08-26,failed,67,USA,4390,7500
The Manual Cocktail Collection,Product Design,Design,2017/07/25,2017-08-26,successful,511,USA,76769,75000
Golden Coil | Customizable Planners,Product Design,Design,2017/07/25,2017-08-25,successful,525,USA,105006.05,100000
The World's Best Travel Bags: One-Bag Carry On + Weekender,Product Design,Design,2017/07/25,2017-08-25,failed,39,USA,4234,25000
Los Futbolistas,Action,Film & Video,2017/07/25,2017-08-25,successful,171,USA,18273,12159
AZTAGRAMBOOK 2' by Sayali Bahar,Fiction,Publishing,2017/07/25,2017-08-25,failed,24,USA,275,2000
Small Town America,Photobooks,Photography,2017/07/25,2017-08-25,failed,2,USA,6,15000
"A Writer's Guide to Fairies, Witches, and Vampires",Nonfiction,Publishing,2017/07/25,2017-08-24,successful,18,USA,809,800
We Live in an Amazing Place - A Children's Book,Children's Books,Publishing,2017/07/25,2017-08-24,successful,180,USA,10152,7500
Illinois shithole. sign,Art,Art,2017/07/25,2017-08-24,canceled,2,USA,45,833
Qwikfix,Apps,Technology,2017/07/25,2017-08-24,failed,4,USA,410,50000
Déjà Skies : THE FIRST NIGHT WE TANGOED (Episode 1),Graphic Novels,Comics,2017/07/25,2017-08-24,failed,2,USA,95,1800
Alphious I,Technology,Technology,2017/07/25,2017-08-24,failed,4,USA,37,25000
Lighthouse Lane-A feature film about mental illness,Narrative Film,Film & Video,2017/07/25,2017-08-24,canceled,0,USA,0,5000
Robots vs. Princesses,Comics,Comics,2017/07/25,2017-08-24,successful,133,USA,4008,2500
P-Shirt,Apparel,Fashion,2017/07/25,2017-08-24,failed,0,USA,0,45000
The Dishwasher (El lavaplatos),Drama,Film & Video,2017/07/25,2017-08-24,successful,39,USA,6300,6000
Elite Sweets- Protein Donut,Community Gardens,Food,2017/07/25,2017-08-24,failed,4,USA,128,6000
Barrett's Cookies & Biscuits,Events,Food,2017/07/25,2017-08-24,successful,16,USA,540,450
"THE STRIP, A Twisted Vegas Comic Anthology",Anthologies,Comics,2017/07/25,2017-08-24,successful,125,USA,5190,5000
Puppy PawER Shower,Product Design,Design,2017/07/25,2017-08-24,failed,2,USA,51,15000
Trinity Dungeon,Video Games,Games,2017/07/25,2017-08-24,failed,4,USA,36,200
Rank the Big N' Toasted from Every Dunkin' Donuts in Chicago,Restaurants,Food,2017/07/25,2017-08-24,canceled,0,USA,0,868
Nearly There Performing Arts Center & Shelter,Performance Art,Art,2017/07/25,2017-08-24,failed,0,USA,0,13000
"I've planted a seed of dreams, please help me water it.",People,Photography,2017/07/25,2017-08-24,failed,2,USA,26,3000
Angry Beaver Knives,DIY,Crafts,2017/07/25,2017-08-24,failed,2,USA,88,30000
Pigeon Skeleton Pin,Accessories,Fashion,2017/07/25,2017-08-24,successful,33,USA,607,600
"AmpTough: Your USB-C Cable 5x More Stronger, 40% Faster",Gadgets,Technology,2017/07/25,2017-08-24,failed,37,USA,1409,6000
ChocolateConstruction: Build a 3D Edible Chocolate Dinosaur,Product Design,Design,2017/07/25,2017-08-24,successful,1063,USA,31665,5000
Munchable Mythos Acrylic Charms!,Art,Art,2017/07/25,2017-08-24,successful,30,USA,786,595
IEEE FAU Robotics Team 2018,Robots,Technology,2017/07/25,2017-08-24,failed,6,USA,87,500
Tidy Brush - Never Go To The Car Wash Again,Design,Design,2017/07/25,2017-08-24,failed,12,USA,498,2000
Mobile Cupcakes For All. Making Dessert the Main Course!,Food Trucks,Food,2017/07/25,2017-08-24,successful,19,USA,3303,2500
pHit | The World's First Alkaline Water Enhancer,Drinks,Food,2017/07/25,2017-08-24,successful,124,USA,25353,25000
"Aurora - A High Powered, Large Volume, DIY Laser Engraver",Technology,Technology,2017/07/25,2017-08-24,failed,13,USA,5515,10000
Nakuru Kuru: Discovering Cloudbreak,Documentary,Film & Video,2017/07/25,2017-08-24,successful,199,USA,43619.5,40000
Adventure Van Conversion Episode Series,Webseries,Film & Video,2017/07/25,2017-08-24,successful,66,USA,2024.11,2000
Hex Gambit: Fast & fluid turn-based strategy,Video Games,Games,2017/07/25,2017-08-24,successful,472,USA,14749,11000
Badass outdoor apparel & gear! An exclusive GGG line!,Product Design,Design,2017/07/25,2017-08-24,successful,259,USA,20077,15000
Deeper Lock | The Smartest Toughest Bike Security Ever,Hardware,Technology,2017/07/25,2017-08-24,canceled,184,USA,35976,79700
Boy Culture: The Series,Webseries,Film & Video,2017/07/25,2017-08-24,successful,423,USA,55150,50000
RaceWorlds™ Tabletop Game,Tabletop Games,Games,2017/07/25,2017-08-24,failed,10,USA,942,20000
Wrapping Wrevolution - Sustainable Gift Wrap,Crafts,Crafts,2017/07/25,2017-08-24,successful,42,USA,3859,1500
SadieMiki Affirmation Calendar,Digital Art,Art,2017/07/25,2017-08-24,failed,3,USA,155,7000
Aspergers: What Animals Taught Me About Living Life,Nonfiction,Publishing,2017/07/25,2017-08-24,failed,3,USA,60,2000
The Poo Emoji Toilet Plunger,Product Design,Design,2017/07/25,2017-08-24,canceled,168,USA,4102,70000
Holly Hall Supply Co. Premium Shaving Products,Product Design,Design,2017/07/25,2017-08-24,successful,233,USA,26771.06,20000
Neil Gaiman's NEVERWHERE Returns to Rorschach Theatre!,Immersive,Theater,2017/07/25,2017-08-24,successful,82,USA,10579,10000
Kellen Burger Road Debut Album,Country & Folk,Music,2017/07/25,2017-08-24,failed,7,USA,290,4500
Physique Pictorial: Relaunch Bob Mizer's Male Photo Magazine,Periodicals,Publishing,2017/07/25,2017-08-24,successful,134,USA,13562,10000
Younique Journals,Technology,Technology,2017/07/25,2017-08-24,successful,59,USA,836,750
Motorized Propeller Hat,Accessories,Fashion,2017/07/25,2017-08-24,suspended,0,USA,0,1200
VR Video Travel,Documentary,Film & Video,2017/07/25,2017-08-24,failed,0,USA,0,10000
The Girl From Brazil,Documentary,Film & Video,2017/07/25,2017-08-24,failed,0,USA,0,10000
The Drawing Studio,Art,Art,2017/07/25,2017-08-24,successful,188,USA,30975.51,30000
"Boy, Girl, & Human Feed",Food,Food,2017/07/25,2017-08-24,canceled,4,USA,467,125000
The Everyday Bottle | Stay Hydrated & Healthy All Day Long,Product Design,Design,2017/07/25,2017-08-24,canceled,29,USA,831,12500
SpotlessAir - Live Clean…Live Healthy…Live Spotless,Gadgets,Technology,2017/07/25,2017-08-24,failed,2,USA,2,100000
Fans Best Friend Project,Hip-Hop,Music,2017/07/25,2017-08-24,failed,0,USA,0,5000
RAW MATERIAL v.1 by Eliza Ivanova,Illustration,Art,2017/07/25,2017-08-24,successful,670,USA,50416,5000
Starting a Filmmaking Studio,Film & Video,Film & Video,2017/07/25,2017-08-24,failed,0,USA,0,7000
Mindset Press: Conquering Your Thoughts With Confidence,Nonfiction,Publishing,2017/07/25,2017-08-24,failed,2,USA,35,1200
Victory Rolls and Baked Goods 1940's Artisan Bakery,Food,Food,2017/07/25,2017-08-24,failed,8,USA,490,15000
Spindown d10 Dice for Magic: The Gathering and Other Games,Games,Games,2017/07/25,2017-08-24,canceled,0,USA,0,700
FREE PHOTOGRAPHY COPYRIGHT PLATFORM,Photography,Photography,2017/07/25,2017-08-24,failed,1,USA,10,25000
UuDrop,Apps,Technology,2017/07/25,2017-08-24,failed,0,USA,0,25000
"LAMEBRAINS - Issue #2 (This time, it's personal!)",Comic Books,Comics,2017/07/25,2017-08-24,failed,36,USA,635,2000
Halfling Skeleton Army Miniatures,Tabletop Games,Games,2017/07/25,2017-08-23,successful,37,USA,6063.5,2000
VISITOR in Blackwood Grove,Tabletop Games,Games,2017/07/25,2017-08-23,successful,1913,USA,42986.47,9000
The School of Doing: Lessons from Gerald Freedman,Academic,Publishing,2017/07/25,2017-08-23,successful,339,USA,27188,20000
JuiceBox Zero - Raspberry Pi Zero Battery Management Board,DIY Electronics,Technology,2017/07/25,2017-08-23,failed,32,USA,1638,35000
